Date;Time;Weekday;P_pump;p_TDLAS;p_in;I_total;U_supply;external_pump;Runtime;Conc_estimate;pCH4;xCH4;T_control;T_gas;%rH_gas;
2021-05-21;09:40:05;5;0.45;1015.32;1007.34;454.737;19.109248;1;340425505;2.505;2.354;2.368;43.995;39.918;37.778;
2021-05-21;09:41:05;5;0.45;1015.23;1007.33;471.025;19.10974;1;340425565;2.484;2.334;2.348;43.996;39.904;37.801;
2021-05-21;09:42:05;5;0.45;1015.2;1007.28;435.125;19.116611;1;340425625;2.422;2.276;2.29;44.0;39.895;37.814;
2021-05-21;09:43:05;5;0.45;1015.19;1007.27;467.437;19.118181;1;340425685;2.446;2.298;2.312;44.001;39.882;37.836;
2021-05-21;09:44:05;5;0.45;1015.16;1007.22;464.612;19.118868;1;340425745;2.545;2.392;2.406;43.998;39.872;37.852;
2021-05-21;09:45:05;5;0.45;1015.13;1007.19;454.562;19.113469;1;340425805;2.664;2.504;2.519;44.003;39.86;37.858;
2021-05-21;09:46:05;5;0.45;1015.12;1007.18;452.4;19.118377;1;340425865;2.623;2.464;2.479;43.997;39.845;37.867;
2021-05-21;09:47:05;5;0.45;1015.09;1007.17;468.35;19.11131;1;340425925;2.541;2.388;2.402;44.005;39.839;37.894;
2021-05-21;09:48:05;5;0.45;1015.02;1007.11;448.85;19.119948;1;340425985;2.559;2.405;2.419;43.999;39.831;37.907;
2021-05-21;09:49:05;5;0.45;1015.0;1007.1;466.425;19.112488;1;340426045;2.446;2.299;2.312;44.0;39.82;37.92;
2021-05-21;09:50:05;5;0.45;1015.04;1007.08;464.95;19.111702;1;340426105;2.619;2.461;2.476;43.999;39.803;37.952;
2021-05-21;09:50:31;5;0.45;1015.11;1007.08;469.937;19.122894;1;340426131;2.53;2.377;2.391;43.995;39.8;37.946;
2021-05-21;09:50:33;5;0.45;1015.07;1007.07;421.875;19.106697;1;340426133;2.239;2.103;2.117;43.998;39.809;37.964;
2021-05-21;09:50:35;5;0.45;1015.32;1007.07;468.812;19.114059;1;340426135;2.425;2.278;2.292;44.004;39.8;37.945;
2021-05-21;09:50:37;5;0.45;1014.89;1007.06;465.812;19.111114;1;340426137;2.485;2.334;2.349;44.008;39.8;37.98;
2021-05-21;09:50:39;5;0.45;1015.02;1007.04;469.25;19.110133;1;340426139;2.69;2.527;2.542;44.005;39.8;37.946;
2021-05-21;09:50:41;5;0.45;1015.01;1007.05;425.625;19.104243;1;340426141;2.71;2.546;2.561;43.986;39.8;37.963;
2021-05-21;09:50:43;5;0.45;1014.85;1007.07;436.0;19.107187;1;340426143;2.319;2.179;2.192;43.998;39.804;37.946;
2021-05-21;09:50:45;5;0.45;1015.36;1007.06;471.625;19.110133;1;340426145;2.539;2.385;2.4;44.007;39.8;37.946;
2021-05-21;09:50:47;5;0.45;1015.18;1007.04;475.5;19.108169;1;340426147;2.58;2.424;2.439;43.997;39.8;37.946;
2021-05-21;09:50:49;5;0.451;1015.02;1007.04;481.875;19.137127;1;340426149;2.64;2.48;2.495;43.998;39.8;37.928;
2021-05-21;09:50:51;5;0.45;1014.87;1007.05;475.5;19.138599;1;340426151;2.375;2.231;2.245;44.005;39.794;37.962;
2021-05-21;09:50:53;5;0.45;1014.78;1007.08;460.312;19.114059;1;340426153;2.235;2.1;2.112;44.001;39.8;37.98;
2021-05-21;09:50:55;5;0.45;1015.33;1007.07;401.687;19.109151;1;340426155;2.635;2.475;2.491;44.008;39.8;37.963;
2021-05-21;09:50:57;5;0.45;1015.22;1007.06;455.312;19.107188;1;340426157;2.58;2.423;2.439;43.996;39.804;37.946;
2021-05-21;09:50:59;5;0.45;1015.06;1007.07;479.0;19.106697;1;340426159;2.595;2.438;2.453;43.997;39.8;37.98;
2021-05-21;09:51:01;5;0.45;1014.83;1007.04;466.5;19.110132;1;340426161;2.46;2.311;2.325;44.001;39.794;37.962;
2021-05-21;09:51:03;5;0.45;1014.84;1007.04;408.562;19.109151;1;340426163;2.35;2.208;2.221;44.002;39.799;37.98;
2021-05-21;09:51:05;5;0.45;1015.36;1007.04;394.25;19.10866;1;340426165;2.285;2.146;2.159;44.0;39.794;37.945;
2021-05-21;09:51:07;5;0.45;1015.33;1007.04;470.937;19.107187;1;340426167;2.265;2.127;2.14;43.995;39.794;37.928;
2021-05-21;09:51:09;5;0.45;1014.85;1007.09;456.187;19.116513;1;340426169;2.54;2.386;2.401;44.008;39.8;37.911;
2021-05-21;09:51:11;5;0.45;1014.8;1007.05;465.25;19.111605;1;340426171;2.77;2.602;2.619;44.004;39.8;37.963;
2021-05-21;09:51:13;5;0.45;1014.99;1007.05;468.5;19.112096;1;340426173;2.389;2.244;2.258;44.003;39.794;37.962;
2021-05-21;09:51:15;5;0.45;1015.19;1007.03;412.687;19.109151;1;340426175;2.535;2.382;2.396;43.993;39.8;37.945;
2021-05-21;09:51:17;5;0.45;1015.26;1007.05;386.187;19.112586;1;340426177;2.67;2.508;2.524;44.005;39.799;37.945;
2021-05-21;09:51:19;5;0.45;1014.78;1007.03;475.0;19.128783;1;340426179;2.555;2.4;2.415;43.994;39.8;37.963;
2021-05-21;09:51:21;5;0.45;1014.76;1007.04;487.875;19.11504;1;340426181;2.565;2.409;2.424;43.994;39.8;37.928;
2021-05-21;09:51:23;5;0.45;1015.23;1007.01;478.0;19.109151;1;340426183;2.405;2.259;2.273;44.001;39.789;37.962;
2021-05-21;09:51:25;5;0.45;1015.25;1007.04;468.687;19.112096;1;340426185;2.905;2.729;2.746;44.007;39.789;37.979;
2021-05-21;09:51:27;5;0.451;1015.1;1007.08;468.437;19.110133;1;340426187;2.614;2.456;2.471;44.002;39.794;37.979;
2021-05-21;09:51:29;5;0.45;1014.84;1007.05;472.125;19.10817;1;340426189;2.17;2.038;2.051;43.996;39.779;37.961;
2021-05-21;09:51:31;5;0.45;1014.81;1007.03;448.0;19.107678;1;340426191;2.51;2.358;2.373;44.0;39.789;37.945;
2021-05-21;09:51:33;5;0.45;1015.29;1007.03;460.625;19.109641;1;340426193;2.82;2.649;2.665;43.998;39.794;37.979;
2021-05-21;09:51:35;5;0.45;1015.3;1007.03;469.0;19.109642;1;340426195;2.569;2.414;2.429;43.999;39.789;37.979;
2021-05-21;09:51:37;5;0.45;1014.76;1007.01;481.5;19.127311;1;340426197;2.509;2.357;2.372;43.996;39.794;37.979;
2021-05-21;09:51:39;5;0.45;1014.96;1007.02;468.5;19.120931;1;340426199;2.734;2.569;2.584;44.006;39.794;37.979;
2021-05-21;09:51:41;5;0.45;1015.18;1007.04;475.25;19.129764;1;340426201;2.704;2.541;2.557;44.006;39.789;37.979;
2021-05-21;09:51:43;5;0.45;1015.0;1007.01;484.687;19.104733;1;340426203;2.42;2.273;2.287;43.991;39.794;37.962;
2021-05-21;09:51:45;5;0.45;1015.08;1007.01;468.75;19.110132;1;340426205;2.805;2.635;2.652;44.007;39.789;37.962;
2021-05-21;09:51:47;5;0.45;1014.91;1007.02;457.375;19.125838;1;340426207;2.71;2.546;2.562;44.006;39.779;37.978;
2021-05-21;09:51:49;5;0.45;1015.13;1007.03;474.187;19.105224;1;340426209;2.619;2.461;2.476;43.993;39.789;37.962;
