Datenumtime,Plottedtime,DRB_sensor[ppm],EB_sensor[ppm],Temperature[C],Longitude[decimalDeg],Latitude[decimalDeg]
736259.45351946,0.0030321100493893,13.2429643,17.27,4.367,9.464823,78.56252
736259.4535426,0.00305525003932416,13.648807774,17.45,4.366,9.46483,78.562513
736259.45356575,0.0030784000409767,14.054651248,17.4,4.37,9.464835,78.562505
736259.4535889,0.00310155004262924,14.55741035,17.25,4.372,9.464848,78.562498
736259.45361204,0.0031246900325641,15.037117793,17.3,4.37,9.46485,78.562487
736259.45363519,0.00314784003421664,15.522216695,17.45,4.371,9.464855,78.56248
736259.45365833,0.0031709800241515,16.221326447,17.45,4.376,9.464863,78.562477
736259.45368148,0.00319413002580404,16.877378942,17.4,4.378,9.464893,78.562465
736259.45370462,0.0032172700157389,17.510542125,17.6,4.379,9.464927,78.56245
736259.45372777,0.00324042001739144,18.304539736,17.6,4.377,9.464945,78.56244
736259.45375092,0.00326357001904398,18.984866291,17.1,4.374,9.464955,78.56243
736259.45377406,0.00328671000897884,19.599138501,17.35,4.372,9.46496,78.562413
736259.45379721,0.00330986001063138,20.281220056,17.35,4.371,9.464965,78.562405
736259.45382035,0.00333300000056624,20.711010579,17.6,4.367,9.464985,78.562395
736259.4538435,0.00335615000221878,21.121434511,17.5,4.366,9.465023,78.562383
736259.45386665,0.00337930000387132,21.544146176,17.53,4.366,9.465045,78.562375
736259.45388979,0.00340243999380618,21.719303585,17.6,4.366,9.46506,78.562363
736259.45391294,0.00342558999545872,22.043510024,17.73,4.366,9.46507,78.562347
736259.45393608,0.00344872998539358,22.503543974,17.43,4.368,9.465075,78.56234
736259.45395923,0.00347187998704612,22.92706458,17.45,4.371,9.46509,78.56233
736259.45398237,0.00349501997698098,23.613082244,17.53,4.372,9.465107,78.562313
736259.45400552,0.00351816997863352,24.30065913,17.53,4.373,9.46511,78.562305
736259.45402867,0.00354131998028606,24.859419633,17.6,4.377,9.465113,78.562298
736259.45405181,0.00356445997022092,25.52212503,17.67,4.378,9.46513,78.562287
736259.45407496,0.00358760997187346,26.076784161,17.65,4.379,9.465145,78.562275
736259.4540981,0.00361074996180832,26.695787846,17.5,4.379,9.46515,78.562267
736259.45412125,0.00363389996346086,27.431038161,17.45,4.378,9.465153,78.562255
736259.4541444,0.0036570499651134,28.066304833,17.38,4.378,9.46517,78.562243
736259.45416754,0.00368018995504826,28.688189824,17.53,4.376,9.465185,78.562235
736259.45419069,0.0037033399567008,29.53613196,17.75,4.377,9.46519,78.562223
736259.45421383,0.00372647994663566,30.227022086,17.8,4.378,9.465205,78.56221
736259.45423698,0.0037496299482882,30.953165282,17.8,4.381,9.46523,78.5622
736259.45426012,0.00377277005463839,32.005420334,17.75,4.383,9.465255,78.562188
736259.45428327,0.00379592005629092,33.035807596,17.93,4.383,9.46528,78.562177
736259.45430642,0.00381907005794346,34.306412757,17.9,4.38,9.46529,78.56217
736259.45432956,0.00384221004787832,35.181371335,17.7,4.378,9.46529,78.56216
736259.45435271,0.00386536004953086,35.999608688,17.65,4.379,9.465297,78.562147
736259.45437585,0.00388850003946573,36.692783848,17.73,4.376,9.465315,78.562135
736259.454399,0.00391165004111826,37.123956989,17.85,4.374,9.46533,78.562125
736259.45442215,0.0039348000427708,37.117946099,17.93,4.375,9.46534,78.562117
736259.45444529,0.00395794003270566,37.327661205,17.75,4.375,9.465345,78.56211
736259.45446844,0.0039810900343582,37.695257796,17.9,4.373,9.465365,78.562098
736259.45449158,0.00400423002429307,38.829155802,18.13,4.372,9.465393,78.562083
736259.45451473,0.0040273800259456,40.479873174,17.95,4.374,9.465415,78.562075
736259.45453787,0.00405052001588047,42.178043823,17.95,4.375,9.465427,78.562067
736259.45456102,0.004073670017533,44.758093052,18.07,4.373,9.465448,78.562053
736259.45458417,0.00409682001918554,47.27608225,18.13,4.372,9.46546,78.56204
736259.45460731,0.0041199600091204,49.680835127,17.9,4.37,9.46547,78.562033
736259.45463046,0.00414311001077294,52.067822494,17.85,4.37,9.465503,78.56202
736259.4546536,0.00416625000070781,54.544328056,18,4.37,9.46552,78.562003
736259.45467675,0.00418940000236034,56.273086675,18.25,4.373,9.465525,78.561995
736259.4546999,0.00421255000401288,57.676002502,18.25,4.375,9.465548,78.561985
736259.45472304,0.00423568999394774,58.047512096,18.13,4.374,9.46557,78.561973
736259.45474619,0.00425883999560028,57.803118695,18.13,4.374,9.465585,78.561965
736259.45476933,0.00428197998553514,57.240317458,18,4.374,9.465605,78.56195
736259.45479248,0.00430512998718768,56.310047886,18.15,4.374,9.465633,78.561937
736259.45481562,0.00432826997712255,55.41568291,18.15,4.373,9.465645,78.56193
736259.45483877,0.00435141997877508,54.770531418,18.2,4.373,9.465665,78.56192
736259.45486192,0.00437456998042762,54.490258893,18.43,4.373,9.465687,78.561903
736259.45488506,0.00439770997036248,54.209986368,18.27,4.373,9.465705,78.561895
736259.45490821,0.00442085997201502,54.367052681,18.27,4.373,9.46572,78.561887
736259.45493135,0.00444399996194988,54.991609796,18.45,4.373,9.465748,78.56187
736259.4549545,0.00446714996360242,56.235696699,18.45,4.374,9.46576,78.56186
736259.45497765,0.00449029996525496,57.706836111,18.45,4.374,9.465777,78.561853
736259.45500079,0.00451343995518982,59.839183276,18.45,4.374,9.4658,78.561843
736259.45502394,0.00453658995684236,61.830307922,18.6,4.374,9.46581,78.56183
736259.45504708,0.00455972994677722,63.756739622,18.8,4.374,9.46582,78.561823
736259.45507023,0.00458287994842976,65.429899926,18.68,4.376,9.465843,78.56181
736259.45509337,0.00460602005477995,66.921775905,18.77,4.376,9.465877,78.561797
736259.45511652,0.00462917005643249,68.413651884,18.7,4.376,9.465895,78.56179
736259.45513967,0.00465232005808502,69.938538091,18.68,4.376,9.465908,78.561778
736259.45516281,0.00467546004801989,71.370909794,18.73,4.375,9.465937,78.561763
